Project,RF_AUC,XGB_AUC,RF_F1,XGB_F1,AUC_Improvement,F1_Improvement
kafka.git,0.7731332250405114,0.7733824392101809,0.7431384369979783,0.7418864298355021,0.0002492141696694983,-0.0012520071624761986
archiva.git,0.7375291371530777,0.7281315099098975,0.6506716540634203,0.6357481060769562,-0.009397627243180162,-0.014923547986464114
activemq.git,0.6545644462782414,0.6038020416039419,0.456195380516496,0.3498999207113481,-0.05076240467429949,-0.10629545980514787
kylin.git,0.6814727633637783,0.662853353075622,0.5003812711268583,0.46890802153979794,-0.01861941028815628,-0.031473249587060326
phoenix.git,0.928467427195779,0.8936616260905554,0.9083928787206654,0.8490354247744071,-0.03480580110522358,-0.059357453946258354
tez.git,0.7541341188262446,0.7429131198117506,0.661898809775439,0.6476537404184842,-0.011220999014494026,-0.014245069356954798
helix.git,0.7022875997886355,0.6760725277902329,0.5931260962449179,0.5521638789268527,-0.026215071998402673,-0.04096221731806515
commons-math,0.7650307848678906,0.7683764058621916,0.6731728125109375,0.6764260980027866,0.003345620994301024,0.0032532854918491116
mahout,0.7248493107344237,0.7095415034241136,0.6468866208771162,0.626854291161454,-0.015307807310310118,-0.020032329715662267
nifi.git,0.6902200502360456,0.6670623744049469,0.546076873625366,0.5060121656570796,-0.023157675831098734,-0.04006470796828643
Average,0.7411688863484629,0.7225796901183433,0.6379940834459196,0.6054588077104668,-0.018589196230119454,-0.03253527573545264
